LUX	113182.73	569415	0.87810576	81.8	6.871
LUX	114164.47	607920	0.49349168	81.8	7.0903
LUX	114985.84	596290	0.3354115	81.7	6.9099
LUX	113313.58	556075	0.71933454	81.7	6.946
CHE	68670.24	8638609	0.5440688	83.1	7.5715
CHE	67824.086	8187792	0.50074553	83.1	7.587
CHE	69103.57	8451688	0.5324381	83.4	7.4873
CHE	68159.22	8281735	0.6882618	82.8	7.509
CHE	70857.086	8575593	0.53640634	83.8	7.5599
CHE	66587.85	7910988	0.5814702	82.6	7.498953
CHE	67080.37	8088370	0.7047158	82.7	
CHE	68813.64	8372902	0.53744835	83.4	7.494
CHE	70558.56	8514431	0.5872381	83.6	7.4802
CHE	71032.84	8691409	0.48323596	84	7.5116
CHE	66661.49	7995738	0.5627998	82.6	
SEN	2790.8975	12875878		65.3	4.414183
SEN	3430.484	16000783		68.5	4.9808
SEN	3368.8586	15574910		68.1	4.6811
SEN	3118.4236	14751356		67.5	4.535
SEN	3383.8884	16436120		68	5.1318
SEN	2824.533	13231840		65.5	
SEN	3495.4036	16876726		67.1	5.0461
SEN	3012.3833	14356191		66.9	4.219
SEN	2910.2888	13970314		66.5	3.904
SEN	2815.2815	13595571		66.1	
SEN	3259.1926	15157793		67.8	4.6311
BRA	15271.47	198185296	26.355639	73.3	6.697499
BRA	15011.577	205188208	28.356405	74.3	6.952
BRA	14685.128	211782880	20.810465	75.3	6.3756
BRA	15425.353	199977712	28.197144	73.6	
BRA	15751.484	201721776	28.179903	73.9	
BRA	14402.494	206859584	29.589155	74.4	6.635
BRA	14021.958	213196304	22.384066	74	6.3301
BRA	14619.591	210166592	26.636013	75.1	6.2998
BRA	15695.644	203459648	29.358646	74.3	6.983
